,name,country,career_starting_at,career_ending_at,career_length,censor
693,DW Steyn,SA,2005,2015,11,0
694,RN Lewis,WI,1997,2009,13,1
695,SP Narine,WI,2011,2015,5,0
696,DA Reeve,Eng,1991,1996,6,1
697,CS Pandit,India,1986,1992,7,1
698,Sanwar Hossain,Ban,1998,2003,6,1
699,SMSM Senanayake,SL,2012,2015,4,0
700,JN Gillespie,Aus,1996,2005,10,1
701,IDR Bradshaw,WI,2004,2007,4,1
702,KM Curran,Zim,1983,1987,5,1
703,LG Howell,NZ,1998,1998,1,1
704,MK Tiwary,India,2008,2015,8,0
705,D Lloyd,Eng,1973,1980,8,1
706,VJ Marks,Eng,1980,1988,9,1
709,MA Holding,WI,1976,1987,12,1
710,CL King,WI,1976,1980,5,1
711,RS Sodhi,India,2000,2002,3,1
713,Mehrab Hossain jnr,Ban,2006,2009,4,1
714,JM Anderson,Eng,2002,2015,14,0
715,DT Christian,Aus,2012,2014,3,0
716,AM Bacher,SA,1997,2005,9,1
717,Jahurul Islam,Ban,2010,2013,4,0
718,KBJ Azad,India,1980,1986,7,1
719,AD Gaekwad,India,1975,1987,13,1
720,AW Greig,Eng,1972,1977,6,1
721,Umar Amin,Pak,2010,2014,5,0
722,JL Denly,Eng,2009,2009,1,1
723,Aaqib Javed,Pak,1988,1998,11,1
724,Shamsur Rahman,Ban,2013,2014,2,0
725,ADS Fletcher,WI,2008,2015,8,0
727,MH Denness,Eng,1973,1975,3,1
729,NO Miller,WI,2008,2015,8,0
733,Naved Latif,Pak,2001,2003,3,1
734,TAM Siriwardana,SL,2015,2016,2,0
735,JM Bairstow,Eng,2011,2015,5,0
736,KJ Wadsworth,NZ,1973,1976,4,1
737,ML Udawatte,SL,2008,2008,1,1
738,SS Dighe,India,2000,2001,2,1
740,R Edwards,Aus,1972,1975,4,1
742,JE Taylor,WI,2003,2015,13,0
743,S Randiv,SL,2009,2014,6,0
744,S Ranatunga,SL,1994,1996,3,1
745,IP Butchart,Zim,1983,1995,13,1
747,JFM Morrison,NZ,1975,1983,9,1
749,JAH Marshall,NZ,2005,2008,4,1
750,CT Radley,Eng,1978,1978,1,1
751,AR Caddick,Eng,1993,2003,11,1
752,GF Labrooy,SL,1986,1992,7,1
753,JM Parker,NZ,1974,1981,8,1
754,RB Reid,NZ,1988,1991,4,1
755,RH Vance,NZ,1988,1989,2,1
757,A Turner,Aus,1975,1975,1,1
758,AD Mascarenhas,Eng,2007,2009,3,1
759,SM Davies,Eng,2009,2011,3,1
760,C Munro,NZ,2013,2015,3,0
762,BP Patel,India,1974,1979,6,1
764,PR Downton,Eng,1977,1988,12,1
765,Hasan Raza,Pak,1996,1999,4,1
767,MJ Di Venuto,Aus,1997,1997,1,1
770,DK Lillee,Aus,1972,1983,12,1
772,CRD Fernando,SL,2001,2012,12,0
773,J Garner,WI,1977,1987,11,1
774,KJ Arnott,Zim,1987,1993,7,1
775,JDS Neesham,NZ,2013,2015,3,0
776,DC Thomas,WI,2009,2013,5,0
778,Enamul Haque,Ban,1990,2002,13,1
779,GJ Hopkins,NZ,2004,2010,7,1
780,LM Jongwe,Zim,2014,2016,3,0
781,Khurram Manzoor,Pak,2008,2009,2,1
783,JP Crawley,Eng,1994,1999,6,1
785,Iftikhar Anjum,Pak,2004,2010,7,1
786,P Mustard,Eng,2007,2008,2,1
787,AME Roberts,WI,1975,1983,9,1
788,STR Binny,India,2014,2015,2,0
789,TM Chappell,Aus,1980,1983,4,1
790,SHU Karnain,SL,1984,1990,7,1
791,TM Dowlin,WI,2009,2010,2,1
792,DR Flynn,NZ,2008,2012,5,0
794,M Dillon,WI,1997,2005,9,1
795,T Panyangara,Zim,2004,2015,12,0
796,AMJ Hilditch,Aus,1979,1985,7,1
798,BP Julian,Aus,1993,1999,7,1
799,KR Stackpole,Aus,1971,1974,4,1
800,JH Edrich,Eng,1971,1975,5,1
801,BKV Prasad,India,1994,2001,8,1
802,Sarfraz Nawaz,Pak,1973,1984,12,1
803,Wasim Bari,Pak,1973,1984,12,1
805,HM Nicholls,NZ,2015,2016,2,0
807,Y Venugopal Rao,India,2005,2006,2,1
809,FA Rose,WI,1997,2000,4,1
810,EO Simons,SA,1994,1995,2,1
811,V Dahiya,India,2000,2001,2,1
812,KAJ Roach,WI,2008,2015,8,0
813,WK Lees,NZ,1979,1983,5,1
814,M Morkel,SA,2007,2016,10,0
815,JL Carter,WI,2015,2015,1,0
816,NO Perry,WI,1999,2000,2,1
818,KS Lokuarachchi,SL,2003,2007,5,1
819,CPH Ramanayake,SL,1986,1995,10,1
820,Tahir Naqqash,Pak,1980,1985,6,1
821,Mushtaq Mohammad,Pak,1973,1978,6,1
822,B Kumar,India,2012,2016,5,0
823,MHW Papps,NZ,2004,2005,2,1
824,DL Bairstow,Eng,1979,1984,6,1
826,PE McEwan,NZ,1980,1985,6,1
827,DG Brownlie,NZ,2012,2014,3,0
828,JA Rennie,Zim,1993,2000,8,1
829,APE Knott,Eng,1971,1977,7,1
830,NW Bracken,Aus,2001,2009,9,1
832,Moin-ul-Atiq,Pak,1988,1989,2,1
833,M Ntini,SA,1998,2009,12,1
834,SF Mire,Zim,2014,2015,2,0
835,Ijaz Faqih,Pak,1980,1988,9,1
836,GA Lamb,Zim,2010,2011,2,1
838,ASA Perera,SL,1998,2001,4,1
839,Sharjeel Khan,Pak,2013,2014,2,0
840,Akram Raza,Pak,1989,1995,7,1
841,PJ Ingram,NZ,2010,2010,1,1
842,S Prasanna,SL,2011,2015,5,0
843,C Pringle,NZ,1990,1995,6,1
844,V Rathour,India,1996,1997,2,1
848,DAG Fletcher,Zim,1983,1983,1,1
849,TN Madondo,Zim,1998,2001,4,1
850,FDM Karunaratne,SL,2011,2015,5,0
851,CJ McKay,Aus,2009,2014,6,0
853,BAW Mendis,SL,2008,2015,8,0
856,EAE Baptiste,WI,1983,1990,8,1
857,T Mupariwa,Zim,2004,2015,12,0
858,JL Ontong,SA,2001,2012,12,0
859,Saadat Ali,Pak,1984,1984,1,1
860,Sohag Gazi,Ban,2012,2014,3,0
861,SI de Saram,SL,1999,2001,3,1
864,MK Pandey,India,2015,2016,2,0
865,JR Thomson,Aus,1975,1985,11,1
866,SB Bangar,India,2002,2004,3,1
867,DG Cork,Eng,1992,2002,11,1
868,JW Hastings,Aus,2010,2016,7,0
869,PJ Moor,Zim,2014,2016,3,0
872,B Warnapura,SL,1975,1982,8,1
875,DM Richards,WI,2009,2010,2,1
876,AP Devcich,NZ,2013,2014,2,0
877,SC Khanna,India,1979,1984,6,1
879,BR Blair,NZ,1982,1986,5,1
880,GC Dyer,Aus,1986,1988,3,1
881,MD Moxon,Eng,1985,1988,4,1
882,GRJ Roope,Eng,1973,1978,6,1
883,SB Doull,NZ,1992,2000,9,1
884,Hasibul Hossain,Ban,1995,2004,10,1
886,DK Morrison,NZ,1987,1996,10,1
887,PS de Villiers,SA,1992,1997,6,1
888,SW Masakadza,Zim,2010,2014,5,0
891,RA Jones,NZ,2003,2003,1,1
892,Mohammad Amir,Pak,2009,2016,8,0
893,AR Whittall,Zim,1996,2000,5,1
894,RS Gabriel,WI,1984,1984,1,1
895,JE Morris,Eng,1990,1991,2,1
896,Haroon Rasheed,Pak,1977,1982,6,1
897,A McGrath,Eng,2003,2004,2,1
901,MJ Lumb,Eng,2014,2014,1,0
902,GAHM Parkar,India,1982,1984,3,1
903,RB Kanhai,WI,1973,1975,3,1
904,RR Powar,India,2004,2007,4,1
905,MA Starc,Aus,2010,2015,6,0
906,JC Tredwell,Eng,2010,2015,6,0
907,MV Nagamootoo,WI,2000,2002,3,1
908,JTC Vaughan,NZ,1992,1996,5,1
909,CD Cumming,NZ,2003,2009,7,1
910,SKL de Silva,SL,1997,1997,1,1
911,SC Joseph,WI,2000,2005,6,1
913,HMCM Bandara,SL,2006,2010,5,1
915,JL Langer,Aus,1994,1997,4,1
916,K Weeraratne,SL,2000,2008,9,1
918,AC Bedade,India,1994,1994,1,1
919,JJ Martin,India,1999,2001,3,1
920,MP Maynard,Eng,1994,2000,7,1
921,IJ Gould,Eng,1983,1983,1,1
922,GJ Cosier,Aus,1975,1979,5,1
923,AM Ellis,NZ,2012,2013,2,0
924,CJ Jordan,Eng,2013,2016,4,0
925,Mohammad Hussain,Pak,1997,1998,2,1
926,CJ Richards,Eng,1981,1988,8,1
928,CPS Chauhan,India,1978,1981,4,1
929,AN Ranasinghe,SL,1975,1982,8,1
930,DW Fleming,Aus,1994,2001,8,1
931,AJ Redmond,NZ,2009,2010,2,1
932,MW Alleyne,Eng,1999,2000,2,1
934,RS Gavaskar,India,2004,2004,1,1
935,BF Hastings,NZ,1973,1975,3,1
936,VD Philander,SA,2007,2015,9,0
938,NA Foster,Eng,1984,1989,6,1
939,GD Barlow,Eng,1976,1977,2,1
940,AR Khurasiya,India,1999,2001,3,1
941,Khalid Latif,Pak,2008,2010,3,1
942,Nazimuddin,Ban,2008,2012,5,0
943,GM Strydom,Zim,2006,2006,1,1
944,D Williams,WI,1988,1997,10,1
945,JA Burns,Aus,2015,2015,1,0
946,SE Findlay,WI,2008,2009,2,1
948,KM Jadhav,India,2014,2015,2,0
949,R Clarke,Eng,2003,2006,4,1
950,DK Liyanage,SL,1992,2001,10,1
953,Abdur Rehman,Pak,2006,2014,9,0
954,CM Kuggeleijn,NZ,1988,1989,2,1
956,MB Loye,Eng,2007,2007,1,1
957,DE Bernard,WI,2003,2010,8,1
958,ARC Fraser,Eng,1989,1999,11,1
959,OD Gibson,WI,1995,1997,3,1
960,CR Matthews,SA,1991,1997,7,1
962,A Nehra,India,2001,2011,11,1
963,Shahid Saeed,Pak,1989,1993,5,1
964,VJ Wells,Eng,1999,1999,1,1
966,HMRKB Herath,SL,2004,2015,12,0
967,T Maruma,Zim,2007,2014,8,0
969,JM Wiener,Aus,1979,1980,2,1
970,MV Fleming,Eng,1997,1998,2,1
971,KH MacLeay,Aus,1983,1987,5,1
972,SJ Benn,WI,2008,2015,8,0
973,EAR de Silva,SL,1986,1992,7,1
974,GN Edwards,NZ,1976,1981,6,1
975,RJ Bailey,Eng,1985,1990,6,1
976,RM Hogg,Aus,1979,1985,7,1
977,APB Tennekoon,SL,1975,1979,5,1
978,G Miller,Eng,1977,1984,8,1
979,LG Rowe,WI,1975,1980,6,1
980,R Vijay Bharadwaj,India,1999,2002,4,1
981,SRD Wettimuny,SL,1975,1979,5,1
982,PA Browne,WI,2008,2008,1,1
983,Arshad Khan,Pak,1993,2006,14,1
984,MD Bell,NZ,1998,2001,4,1
985,RJ Sidebottom,Eng,2001,2010,10,1
986,RK Chauhan,India,1993,1997,5,1
988,Bazid Khan,Pak,2004,2008,5,1
989,ST Finn,Eng,2011,2015,5,0
990,MSK Prasad,India,1998,1999,2,1
991,AF Milne,NZ,2012,2016,5,0
992,Sajid Ali,Pak,1984,1997,14,1
993,RW Taylor,Eng,1973,1984,12,1
995,TJ Zoehrer,Aus,1986,1994,9,1
996,KTGD Prasad,SL,2006,2015,10,0
997,FC Hayes,Eng,1973,1975,3,1
998,DT Hondo,Zim,2001,2005,5,1
999,TE Jesty,Eng,1983,1983,1,1
1000,A Nel,SA,2001,2008,8,1
1001,Dhiman Ghosh,Ban,2008,2008,1,1
1002,M Kartik,India,2002,2007,6,1
1003,TRO Payne,WI,1984,1987,4,1
1004,CP Senanayake,SL,1990,1991,2,1
1005,PA Jaques,Aus,2006,2007,2,1
1007,AIC Dodemaide,Aus,1988,1993,6,1
1008,Liton Das,Ban,2015,2015,1,0
1009,A Maregwede,Zim,2003,2005,3,1
1011,Shafiul Islam,Ban,2010,2014,5,0
1012,M van Jaarsveld,SA,2002,2004,3,1
1013,LR Williams,WI,1996,2001,6,1
1014,Ziaur Rahman,Ban,2013,2014,2,0
1015,GA Paterson,Zim,1983,1987,5,1
1016,J Arun Lal,India,1982,1989,8,1
1019,BA Parchment,WI,2007,2008,2,1
1022,L Balaji,India,2002,2009,8,1
1025,Shahid Mahboob,Pak,1982,1984,3,1
1027,EJ Chatfield,NZ,1979,1989,11,1
1028,DBL Powell,WI,2002,2009,8,1
1029,JN Snape,Eng,2001,2002,2,1
1030,V Yadav,India,1992,1994,3,1
1031,DH Brain,Zim,1992,1995,4,1
1032,MD Gunathilaka,SL,2015,2016,2,0
1033,NB Mahwire,Zim,2004,2006,3,1
1034,FL Reifer,WI,1997,2009,13,1
1035,Arshad Ayub,India,1987,1990,4,1
1036,Azam Khan,Pak,1996,1998,3,1
1037,PH Edmonds,Eng,1977,1987,11,1
1039,Tauseef Ahmed,Pak,1982,1990,9,1
1040,GK Khoda,India,1998,1998,1,1
1041,GD McGrath,Aus,1993,2007,15,1
1042,MA Carberry,Eng,2013,2014,2,0
1043,GR Dilley,Eng,1979,1988,10,1
1044,FM Engineer,India,1974,1975,2,1
1045,KD Ghavri,India,1975,1981,7,1
1047,DL Maddy,Eng,1998,2000,3,1
1048,Naved Anjum,Pak,1984,1992,9,1
1050,MJ Cosgrove,Aus,2006,2006,1,1
1052,DP Hyatt,WI,2011,2011,1,1
1053,CT Mutombodzi,Zim,2013,2015,3,0
1054,Hasan Jamil,Pak,1977,1978,2,1
1056,RD Brown,Zim,1983,1987,5,1
1057,Rashid Khan,Pak,1980,1985,6,1
1058,MG Burmester,Zim,1992,1995,4,1
1059,Mohammed Shami,India,2013,2015,3,0
1060,CL Smith,Eng,1984,1984,1,1
1061,UT Khawaja,Aus,2013,2016,4,0
1062,MJ McClenaghan,NZ,2013,2016,4,0
1063,SJ Rhodes,Eng,1989,1995,7,1
1064,G Cook,Eng,1981,1983,3,1
1066,KO Meth,Zim,2006,2012,7,0
1067,Faruk Ahmed,Ban,1988,1999,12,1
1068,RK Kleinveldt,SA,2013,2013,1,0
1069,TJ Laughlin,Aus,1978,1979,2,1
1070,PM Toohey,Aus,1978,1979,2,1
1071,CD Collymore,WI,1999,2007,9,1
1072,BP Nash,WI,2008,2009,2,1
1073,RP Singh,India,2005,2011,7,1
1074,MW Priest,NZ,1990,1998,9,1
1075,JW Wilson,NZ,1993,2005,13,1
1076,D Wiese,SA,2015,2016,2,0
1078,XJ Doherty,Aus,2010,2015,6,0
1079,ERNS Fernando,SL,1983,1983,1,1
1080,RO Hinds,WI,2001,2004,4,1
1081,WR James,Zim,1992,1996,5,1
1082,TA Lloyd,Eng,1984,1984,1,1
1084,GB Troup,NZ,1976,1985,10,1
1085,S Amarnath,India,1978,1978,1,1
1086,S Elworthy,SA,1998,2002,5,1
1087,MG Hughes,Aus,1988,1993,6,1
1088,Shahzaib Hasan,Pak,2010,2010,1,1
1089,NMK Smith,Eng,1996,1996,1,1
1090,TL Chatara,Zim,2013,2015,3,0
1091,LV Garrick,WI,2001,2001,1,1
1092,AFG Griffith,WI,1996,2000,5,1
1095,BC Rose,Eng,1977,1977,1,1
1096,Saad Nasim,Pak,2015,2015,1,0
1098,GJ Crocker,Zim,1992,1993,2,1
1099,D Elgar,SA,2012,2015,4,0
1100,EJ Gray,NZ,1984,1988,5,1
1101,LR Johnson,WI,2008,2015,8,0
1104,GC Small,Eng,1987,1992,6,1
1105,Suhrawadi Shuvo,Ban,2010,2011,2,1
1106,GM Ewing,Zim,2004,2005,2,1
1108,RB Kerr,Aus,1985,1985,1,1
1109,Manzoor Akhtar,Pak,1997,1998,2,1
1111,Azhar Hossain,Ban,1988,1990,3,1
1112,MP Bicknell,Eng,1990,1991,2,1
1113,CH Morris,SA,2013,2016,4,0
1115,AA Donald,SA,1991,2003,13,1
1117,HK Olonga,Zim,1995,2003,9,1
1119,VC Drakes,WI,1995,2004,10,1
1120,GFJ Liebenberg,SA,1995,1998,4,1
1122,S Abid Ali,India,1974,1975,2,1
1123,Kabir Ali,Eng,2003,2006,4,1
1124,MR Gillespie,NZ,2006,2009,4,1
1126,BC Strang,Zim,1995,2001,7,1
1127,SJ Harmison,Eng,2002,2009,8,1
1129,AR Patel,India,2014,2015,2,0
1130,SG Peall,Zim,1992,1996,5,1
1131,DP Samaraweera,SL,1993,1994,2,1
1132,SW Billings,Eng,2015,2015,1,0
1135,A Ratra,India,2002,2002,1,1
1136,Aamer Hanif,Pak,1993,1995,3,1
1137,Bilawal Bhatti,Pak,2013,2015,3,0
1138,Rubel Hossain,Ban,2009,2015,7,0
1139,JJ van der Wath,SA,2006,2007,2,1
1140,VB Chandrasekhar,India,1988,1990,3,1
1141,JS Patel,NZ,2005,2009,5,1
1143,AJ Traicos,Zim,1983,1993,11,1
1144,Anil Dalpat,Pak,1984,1986,3,1
1146,RM Ellison,Eng,1984,1986,3,1
1148,MJ Henry,NZ,2014,2016,3,0
1149,BD Julien,WI,1973,1977,5,1
1150,EH Mattis,WI,1981,1981,1,1
1151,AD Mullally,Eng,1996,2001,6,1
1152,R Vinay Kumar,India,2010,2013,4,0
1153,W Watson,NZ,1986,1994,9,1
1154,PB Dassanayake,SL,1993,1994,2,1
1157,SI Mahmood,Eng,2004,2009,6,1
1158,KJ Barnett,Eng,1988,1988,1,1
1159,IG Butler,NZ,2002,2010,9,1
1161,VB John,SL,1982,1987,6,1
1164,Younis Ahmed,Pak,1987,1987,1,1
1165,OAC Banks,WI,2003,2005,3,1
1166,GH Bodi,SA,2007,2007,1,1
1168,LHD Dilhara,SL,2005,2013,9,0
1170,RGD Willis,Eng,1973,1984,12,1
1172,Imran Tahir,SA,2011,2016,6,0
1173,LJ Koen,SA,1997,2000,4,1
1176,RD Robinson,Aus,1977,1977,1,1
1178,Mahbubul Alam,Ban,2009,2009,1,1
1181,S Sriram,India,2000,2004,5,1
1182,Syed Rasel,Ban,2005,2010,6,1
1183,Jai P Yadav,India,2002,2005,4,1
1184,PC de Silva,SL,2014,2014,1,0
1186,TR Gripper,Zim,2001,2003,3,1
1187,Hammad Azam,Pak,2011,2015,5,0
1189,PWE Rawson,Zim,1983,1987,5,1
1190,SK Sharma,India,1988,1990,3,1
1191,S Badrinath,India,2008,2011,4,1
1192,Shahadat Hossain,Ban,2006,2013,8,0
1193,MHN Walker,Aus,1974,1981,8,1
1195,AC Dale,Aus,1997,2000,4,1
1196,MF Kent,Aus,1981,1981,1,1
1197,MW Rushmere,SA,1992,1992,1,1
1198,MH Tissera,SL,1975,1975,1,1
1200,Imad Wasim,Pak,2015,2016,2,0
1201,TL Best,WI,2004,2014,11,0
1202,BB Chari,Zim,2015,2015,1,0
1203,Yasir Shah,Pak,2011,2015,5,0
1204,AP Sheahan,Aus,1972,1972,1,1
1205,KDK Vithanage,SL,2013,2014,2,0
1207,MS Kasprowicz,Aus,1995,2005,11,1
1208,MM Patel,India,2006,2011,6,1
1209,Yasir Arafat,Pak,2000,2009,10,1
1210,FH Edwards,WI,2003,2009,7,1
1211,CK Langeveldt,SA,2001,2010,10,1
1212,EB McSweeney,NZ,1986,1987,2,1
1214,CS Serjeant,Aus,1977,1978,2,1
1215,R Telemachus,SA,1998,2006,9,1
1216,AL Wadekar,India,1974,1974,1,1
1219,TG Hogan,Aus,1983,1984,2,1
1220,BA Murphy,Zim,2000,2003,4,1
1222,I Sharma,India,2007,2016,10,0
1223,S Viswanath,India,1985,1988,4,1
1224,CJ Adams,Eng,1998,2000,3,1
1226,CR Brathwaite,WI,2011,2015,5,0
1227,KJ Abbott,SA,2013,2016,4,0
1229,SR Gillespie,NZ,1986,1988,3,1
1230,Shuvagata Hom,Ban,2011,2011,1,1
1231,MJ Smith,Eng,1973,1974,2,1
1233,Ashraf Ali,Pak,1980,1985,6,1
1234,SR Clark,Aus,2005,2009,5,1
1235,AC Dawson,SA,1998,2004,7,1
1236,Y Goonasekera,SL,1983,1983,1,1
1240,RK Illingworth,Eng,1991,1996,6,1
1243,SJ Cook,SA,1991,1993,3,1
1244,SG Davies,Zim,1996,1996,1,1
1247,V Pollard,NZ,1973,1974,2,1
1248,PR Adams,SA,1996,2003,8,1
1249,Akhtar Sarfraz,Pak,1997,1998,2,1
1250,RJ Bright,Aus,1974,1986,13,1
1251,SS Pathirana,SL,2015,2015,1,0
1252,AM Phangiso,SA,2013,2015,3,0
1254,KCG Benjamin,WI,1992,1996,5,1
1255,RD King,WI,1998,2005,8,1
1256,RG Petrie,NZ,1990,1991,2,1
1257,Saeed Azad,Pak,1995,1996,2,1
1258,VA Holder,WI,1973,1978,6,1
1260,KF Semple,WI,1999,1999,1,1
1261,Aamer Yamin,Pak,2015,2015,1,0
1263,PD McGlashan,NZ,2009,2009,1,1
1265,BV Vitori,Zim,2011,2015,5,0
1266,Adnan Akmal,Pak,2011,2012,2,0
1267,SD Anurasiri,SL,1986,1994,9,1
1268,PG Coman,NZ,1973,1974,2,1
1269,CE Cuffy,WI,1994,2002,9,1
1270,Shaheedur Rahman,Ban,1986,1986,1,1
1273,Dolar Mahmud,Ban,2008,2009,2,1
1274,MN Hart,NZ,1994,2002,9,1
1275,JD Love,Eng,1981,1981,1,1
1277,DR Parry,WI,1978,1980,3,1
1278,Shakeel Ahmed jnr,Pak,1995,1995,1,1
1279,ELR Stewart,SA,1993,2002,10,1
1282,GE Bradburn,NZ,1990,2001,12,1
1284,ST Clarke,WI,1978,1982,5,1
1285,NM Coulter-Nile,Aus,2013,2015,3,0
1286,Humayun Farhat,Pak,2001,2001,1,1
1287,JA Jameson,Eng,1973,1975,3,1
1288,Junaid Khan,Pak,2011,2015,5,0
1289,NC McGarrell,WI,1998,2001,4,1
1292,DAJ Bracewell,NZ,2011,2016,6,0
1293,Gazi Ashraf,Ban,1986,1990,5,1
1297,TA Boult,NZ,2012,2016,5,0
1298,RO Butcher,Eng,1980,1981,2,1
1299,TMK Mawoyo,Zim,2006,2014,9,0
1304,BM Wheeler,NZ,2015,2015,1,0
1305,DJ Willey,Eng,2015,2016,2,0
1306,B Yardley,Aus,1978,1983,6,1
1307,KD Boyce,WI,1973,1975,3,1
1308,Ehsanul Haque,Ban,2002,2003,2,1
1310,N Madziva,Zim,2014,2016,3,0
1313,JK Lever,Eng,1976,1982,7,1
1315,Sohail Fazal,Pak,1989,1989,1,1
1316,LL Tsotsobe,SA,2009,2013,5,0
1317,MW Douglas,NZ,1994,1995,2,1
1318,TV Mufambisi,Zim,2006,2007,2,1
1319,SJ Palframan,SA,1996,1996,1,1
1320,EC Rainsford,Zim,2004,2010,7,1
1321,SK Ranasinghe,SL,1986,1986,1,1
1323,RJ Campbell,Aus,2002,2002,1,1
1324,RD Jackman,Eng,1974,1983,10,1
1325,RWT Key,Eng,2003,2004,2,1
1326,BJ McKechnie,NZ,1975,1981,7,1
1328,JV Paranjpe,India,1998,1998,1,1
1329,RG Samuels,WI,1996,1997,2,1
1331,S Venkataraghavan,India,1974,1983,10,1
1332,BCJ Cutting,Aus,2013,2014,2,0
1333,Ghulam Ali,Pak,1993,1995,3,1
1334,Mafizur Rahman,Ban,1997,1997,1,1
1335,Manjural Islam,Ban,1999,2003,5,1
1336,Mohammad Sharif,Ban,2001,2007,7,1
1337,RAP Nissanka,SL,2001,2003,3,1
1338,DL Underwood,Eng,1973,1982,10,1
1339,AJ Woodcock,Aus,1974,1974,1,1
1341,TK Canning,NZ,2003,2005,3,1
1342,KM Jarvis,Zim,2009,2013,5,0
1343,UT Yadav,India,2010,2016,7,0
1344,CS Cowdrey,Eng,1985,1985,1,1
1345,D Dasgupta,India,2001,2001,1,1
1346,AH Gray,WI,1985,1991,7,1
1347,A Mithun,India,2010,2011,2,1
1348,CA Pujara,India,2013,2014,2,0
1349,BS Sandhu,India,1982,1984,3,1
1350,DE Bollinger,Aus,2009,2011,3,1
1352,JG Heron,Zim,1983,1983,1,1
1353,PA Horne,NZ,1987,1987,1,1
1354,J Lewis,Eng,2005,2007,3,1
1355,K Rabada,SA,2015,2016,2,0
1357,CT Tremlett,Eng,2005,2011,7,1
1359,ST Banerjee,India,1991,1992,2,1
1360,DB Close,Eng,1972,1972,1,1
1361,WW Daniel,WI,1978,1984,7,1
1362,DJ Gandhi,India,1999,2000,2,1
1364,Maninder Singh,India,1983,1993,11,1
1366,D Ranatunga,SL,1990,1990,1,1
1367,BA Reid,Aus,1986,1992,7,1
1368,GK Robertson,NZ,1981,1989,9,1
1370,SS Tiwary,India,2010,2010,1,1
1371,KEA Upashantha,SL,1995,2001,7,1
1372,Arafat Sunny,Ban,2014,2015,2,0
1373,GG Arnold,Eng,1972,1975,4,1
1374,JH Hampshire,Eng,1971,1972,2,1
1375,RJ Harris,Aus,2009,2012,4,0
1376,Mohammad Irfan,Pak,2010,2016,7,0
1377,MW Pringle,SA,1992,1994,3,1
1378,PC Strydom,SA,2000,2000,1,1
1379,MG Vandort,SL,2006,2006,1,1
1380,JJ Whitaker,Eng,1987,1987,1,1
1381,Zafar Iqbal,Pak,1995,1995,1,1
1382,Zulqarnain Haider,Pak,2010,2010,1,1
1386,ER Fernando,SL,1975,1975,1,1
1387,Sarandeep Singh,India,2002,2003,2,1
1388,BGK Walker,NZ,2000,2002,3,1
1391,J Nyumbu,Zim,2014,2015,2,0
1392,PP Ojha,India,2008,2012,5,0
1393,IR Redpath,Aus,1971,1975,5,1
1395,Azeem Hafeez,Pak,1983,1985,3,1
1397,DA Murray,WI,1973,1981,9,1
1398,GR Robertson,Aus,1994,1998,5,1
1399,Sami Aslam,Pak,2015,2015,1,0
1401,PJ Wiseman,NZ,1998,2003,6,1
1403,VR Brown,NZ,1988,1988,1,1
1405,Golam Faruq,Ban,1986,1990,5,1
1406,AV Mankad,India,1974,1974,1,1
1408,BP Patterson,WI,1986,1993,8,1
1409,MDK Perera,SL,2007,2014,8,0
1411,S Sreesanth,India,2005,2011,7,1
1413,HR Bryan,WI,1999,1999,1,1
1414,Faisal Hossain,Ban,2004,2010,7,1
1416,KHRK Fernando,SL,2002,2006,5,1
1417,AR Kapoor,India,1995,2000,6,1
1419,WN Slack,Eng,1986,1986,1,1
1420,GB Stevenson,Eng,1980,1981,2,1
1422,Anwar Hossain,Ban,2002,2002,1,1
1423,Azmat Rana,Pak,1978,1978,1,1
1425,GJ Gilmour,Aus,1974,1975,2,1
1426,JN Maguire,Aus,1983,1984,2,1
1427,JL Pattinson,Aus,2011,2015,5,0
1428,MH Richardson,NZ,2002,2002,1,1
1429,JS Foster,Eng,2001,2002,2,1
1431,PA Hitchcock,NZ,2002,2008,7,1
1433,WP Saha,India,2010,2014,5,0
1434,Shafiq Ahmed,Pak,1977,1978,2,1
1436,GH Worker,NZ,2015,2015,1,0
1438,Bilal Asif,Pak,2015,2015,1,0
1440,DR Hadlee,NZ,1973,1976,4,1
1442,CB Mpofu,Zim,2004,2015,12,0
1444,WB Rankin,Eng,2007,2014,8,0
1445,SJ Rixon,Aus,1978,1985,8,1
1446,MR Whitney,Aus,1983,1993,11,1
1447,GA Briant,Zim,1993,1993,1,1
1448,SS Das,India,2001,2002,2,1
1449,KSC de Silva,SL,1996,2000,5,1
1450,DR Gilbert,Aus,1986,1986,1,1
1451,Iqbal Qasim,Pak,1977,1988,12,1
1453,GD Lloyd,Eng,1996,1998,3,1
1454,TBA May,Aus,1987,1995,9,1
1455,LS Pascoe,Aus,1977,1982,6,1
1458,A Shahzad,Eng,2010,2011,2,1
1459,RE van der Merwe,SA,2009,2010,2,1
1462,PP Chawla,India,2007,2011,5,1
1463,CKB Kulasekara,SL,2011,2012,2,0
1464,PJ Martin,Eng,1995,1998,4,1
1466,N M'shangwe,Zim,2011,2014,4,0
1467,SS Naik,India,1974,1974,1,1
1471,PN Webb,NZ,1983,1984,2,1
1472,TS Chisoro,Zim,2015,2016,2,0
1473,MP Jarvis,Zim,1987,1995,9,1
1474,Saiful Islam,Ban,1990,1997,8,1
1475,Shahid Anwar,Pak,1996,1996,1,1
1476,DJ White,NZ,1990,1990,1,1
1478,PVD Chameera,SL,2015,2016,2,0
1479,C de Grandhomme,NZ,2012,2012,1,0
