,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
286,KMDN Kulasekara (SL),2003-2016,173,116,35,1273,73,15.71,1570,81.08,0,4,13
287,NR Mongia (India),1994-2000,140,96,33,1272,69,20.19,1846,68.90,0,2,4
288,JEC Franklin (NZ),2001-2013,110,80,27,1270,98*,23.96,1651,76.92,0,4,5
289,AB Agarkar (India),1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10
290,Shoaib Mohammad (Pak),1984-1993,63,58,6,1269,126*,24.40,2492,50.92,1,8,8
291,Basit Ali (Pak),1993-1996,50,43,6,1265,127*,34.18,1669,75.79,1,9,3
292,MDKJ Perera (SL),2013-2015,51,49,3,1259,116,27.36,1366,92.16,2,7,8
293,Azhar Ali (Pak),2011-2016,33,33,3,1249,102,41.63,1666,74.96,2,7,0
294,SP O'Donnell (Aus),1985-1991,87,64,15,1242,74*,25.34,1534,80.96,0,9,5
295,Harbhajan Singh (Asia/India),1998-2015,236,128,35,1237,49,13.30,1526,81.06,0,0,17
296,SG Law (Aus),1994-1999,54,51,5,1237,110,26.89,1643,75.28,1,7,3
297,Alok Kapali (Ban),2002-2011,69,66,3,1235,115,19.60,1817,67.96,1,5,5
298,GM Hamilton (Scot),1999-2010,38,38,3,1231,119,35.17,1847,66.64,2,7,1
299,Nasir Hossain (Ban),2011-2015,56,45,7,1231,100,32.39,1527,80.61,1,6,3
300,D Mongia (India),2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4
301,RW Marsh (Aus),1971-1984,92,76,15,1225,66,20.08,1489,82.26,0,4,7
302,HDPK Dharmasena (SL),1994-2004,141,87,33,1222,69*,22.62,1879,65.03,0,4,2
303,TM Moody (Aus),1987-1999,76,64,12,1211,89,23.28,1747,69.31,0,10,6
304,Junaid Siddique (Ban),2007-2011,54,53,1,1196,100,23.00,1753,68.22,1,6,6
305,Mohammad Rafique (Asia/Ban),1995-2007,125,106,17,1191,77,13.38,1663,71.61,0,2,15
306,NLTC Perera (SL),2009-2016,110,81,13,1178,80*,17.32,1083,108.77,0,5,7
307,B Lee (Aus),2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16
308,JA Rudolph (Afr/SA),2003-2006,45,39,6,1174,81,35.57,1725,68.05,0,7,0
309,MS Wade (Aus),2012-2016,61,54,6,1173,75,24.43,1522,77.06,0,7,5
310,L Ronchi (Aus/NZ),2008-2016,70,54,8,1159,170*,25.19,987,117.42,1,3,5
311,T Mishra (Kenya),2006-2013,42,40,7,1128,72,34.18,1534,73.53,0,8,4
312,HS Modi (Kenya),1996-2006,63,56,9,1109,78*,23.59,1906,58.18,0,5,5
313,ES Szwarczynski (Neth),2006-2014,41,40,3,1102,98,29.78,1615,68.23,0,10,2
314,VS Solanki (Eng),2000-2006,51,46,5,1097,106,26.75,1504,72.93,2,5,2
315,B Zuiderent (Neth),1996-2011,57,56,10,1097,77*,23.84,1873,58.56,0,8,7
316,Nawroz Mangal (Afg),2009-2016,47,46,6,1096,129,27.40,1458,75.17,2,4,4
317,PA Strang (Zim),1994-2001,95,73,24,1090,47,22.24,1651,66.02,0,0,5
318,G Boycott (Eng),1971-1981,36,34,4,1082,105,36.06,2020,53.56,1,9,1
319,Sarfraz Ahmed (Pak),2007-2016,58,43,7,1077,101*,29.91,1250,86.16,1,3,1
320,NL McCullum (NZ),2009-2015,84,62,11,1070,65,20.98,1220,87.70,0,4,3
321,Asif Mujtaba (Pak),1986-1996,66,55,14,1068,113*,26.04,1671,63.91,1,6,8
322,DW Randall (Eng),1976-1985,49,45,5,1067,88,26.67,1702,62.69,0,5,4
323,DS Smith (WI),2003-2013,47,45,2,1059,107,24.62,1506,70.31,1,5,4
324,JK Kamande (Kenya),1999-2011,86,72,11,1055,74,17.29,1685,62.61,0,3,8
325,IDS Smith (NZ),1980-1992,98,77,16,1055,62*,17.29,1061,99.43,0,3,7
326,C Kieswetter (Eng),2010-2013,46,40,5,1054,107,30.11,1172,89.93,1,5,4
327,KD Mills (NZ),2001-2015,170,101,34,1047,54,15.62,1282,81.66,0,2,8
328,JM How (NZ),2005-2011,41,37,1,1046,139,29.05,1572,66.53,1,7,3
329,Asghar Stanikzai (Afg),2009-2016,53,52,5,1044,90*,22.21,1769,59.01,0,5,3
330,MF Maharoof (SL),2004-2012,104,71,17,1042,69*,19.29,1234,84.44,0,2,3
331,DSBP Kuruppu (SL),1983-1990,54,52,1,1022,72,20.03,1978,51.66,0,4,3
332,AG Prince (Afr/SA),2002-2007,52,41,12,1018,89*,35.10,1502,67.77,0,3,4
333,SK Warne (Aus/ICC),1993-2005,194,107,29,1018,55,13.05,1413,72.04,0,1,10
334,CJ Anderson (NZ),2013-2016,40,36,5,1016,131*,32.77,885,114.80,1,4,2
335,J Charles (WI),2012-2015,35,35,0,1015,130,29.00,1202,84.44,2,4,5
336,SM Patil (India),1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4
337,Rajin Saleh (Ban),2003-2006,43,43,1,1005,108*,23.92,1833,54.82,1,6,5
338,PW Borren (Neth),2006-2014,58,50,5,1004,96,22.31,1176,85.37,0,5,5
339,NFI McCallum (Scot),2006-2011,43,42,6,1002,121*,27.83,1451,69.05,2,4,3
340,Khaled Mahmud (Ban),1998-2006,77,72,3,991,50,14.36,1461,67.83,0,1,9
341,BL Cairns (NZ),1974-1985,78,65,6,987,60,16.72,941,104.88,0,2,6
342,MJ Slater (Aus),1993-1997,42,42,1,987,73,24.07,1634,60.40,0,9,3
343,AD Russell (WI),2011-2015,51,43,9,985,92*,28.97,753,130.81,0,4,5
344,MJ Horne (NZ),1997-2002,50,48,0,980,74,20.41,1515,64.68,0,5,3
345,KJ Coetzer (Scot),2008-2016,27,26,1,977,156,39.08,1202,81.28,2,6,3
346,Akram Khan (Ban),1988-2003,44,44,2,976,65,23.23,1721,56.71,0,5,3
347,TLW Cooper (Neth),2010-2013,23,22,2,976,101,48.80,1391,70.16,1,8,0
348,Naeem Islam (Ban),2008-2014,59,51,15,975,84,27.08,1473,66.19,0,5,5
349,DF Watts (Scot),2006-2011,36,35,1,974,101,28.64,1559,62.47,1,9,4
350,Waqar Younis (Pak),1989-2003,262,139,45,969,37,10.30,1445,67.05,0,0,15
351,RD Berrington (Scot),2008-2016,46,42,4,968,101*,25.47,1271,76.16,1,7,2
352,Fawad Alam (Pak),2007-2015,38,36,12,966,114*,40.25,1297,74.47,1,6,3
353,SA Thomson (NZ),1990-1996,56,52,10,964,83,22.95,1427,67.55,0,5,2
354,JF Mooney (Ire),2006-2015,64,55,14,963,96,23.48,1215,79.25,0,3,6
355,AD Hales (Eng),2014-2016,29,28,0,962,112,34.35,1094,87.93,2,6,2
356,GM Ritchie (Aus),1982-1987,44,42,7,959,84,27.40,1479,64.84,0,6,2
357,RR Watson (Scot),2006-2010,35,35,4,956,123*,30.83,1286,74.33,1,6,4
358,MD Marshall (WI),1980-1992,136,83,19,955,66,14.92,1246,76.64,0,2,5
359,AT Rayudu (India),2013-2015,31,28,7,952,124*,45.33,1219,78.09,2,5,1
360,MG Johnson (Aus),2005-2015,153,91,32,951,73*,16.11,987,96.35,0,2,6
361,Anamul Haque (Ban),2012-2015,30,27,0,950,120,35.18,1357,70.00,3,3,4
362,RS Madugalle (SL),1979-1988,63,56,5,950,73,18.62,1574,60.35,0,3,4
363,A Kumble (Asia/India),1990-2007,271,136,47,938,26,10.53,1536,61.06,0,0,18
364,CM Spearman (NZ),1995-2001,51,50,0,936,86,18.72,1202,77.87,0,5,6
365,RV Uthappa (India),2006-2015,46,42,6,934,86,25.94,1031,90.59,0,6,4
366,AN Kervezee (Neth),2006-2012,39,36,3,924,92,28.00,1263,73.15,0,4,2
367,Noor Ali Zadran (Afg),2009-2016,32,32,1,924,114,29.80,1446,63.90,1,6,2
368,TWM Latham (NZ),2012-2016,38,37,6,917,110*,29.58,1199,76.48,1,4,2
369,S Dhaniram (Can),2006-2010,44,41,4,915,92,24.72,1126,81.26,0,6,2
370,AJ Hall (SA),1999-2007,88,56,13,905,81,21.04,1206,75.04,0,3,5
371,MN Waller (Zim),2009-2016,56,52,3,896,99*,18.28,1255,71.39,0,4,7
372,JWA Taylor (Eng),2011-2015,27,26,5,887,101,42.23,1107,80.12,1,7,2
373,PL Mommsen (Scot),2010-2016,37,36,4,885,139*,27.65,1332,66.44,1,5,2
374,J Srinath (India),1991-2003,229,121,38,883,53,10.63,1109,79.62,0,1,19
375,Yashpal Sharma (India),1978-1985,42,40,9,883,89,28.48,1401,63.02,0,4,0
376,JP Faulkner (Aus),2013-2016,50,38,16,873,116,39.68,781,111.77,1,4,3
377,TT Bresnan (Eng),2006-2015,85,64,20,871,80,19.79,965,90.25,0,1,6
378,SHT Kandamby (SL),2004-2014,39,36,6,870,93*,29.00,1250,69.60,0,5,2
379,MR Marsh (Aus),2011-2016,30,28,6,870,102*,39.54,901,96.55,1,6,2
380,AC Voges (Aus),2007-2013,31,28,9,870,112*,45.78,998,87.17,1,4,0
381,DJ Richardson (SA),1991-1998,122,77,33,868,53,19.72,1298,66.87,0,1,6
382,MA Vermeulen (Zim),2000-2009,43,43,4,868,92,22.25,1227,70.74,0,6,4
383,HK Badani (India),2000-2004,40,36,10,867,100,33.34,1180,73.47,1,4,1
384,GO Jones (Eng/PNG),2004-2014,51,43,8,862,80,24.62,1117,77.17,0,4,1
385,TT Samaraweera (SL),1998-2011,53,42,11,862,105*,27.80,1244,69.29,2,0,4
386,SB Smith (Aus),1983-1985,28,24,2,861,117,39.13,1319,65.27,2,8,1
387,RR Rossouw (SA),2014-2016,29,28,2,860,132,33.07,909,94.60,2,4,5
388,DL Amiss (Eng),1972-1977,18,18,0,859,137,47.72,1185,72.48,4,1,0
389,MM Ali (Eng),2014-2016,36,35,4,856,128,27.61,859,99.65,2,3,1
390,RA Harper (WI),1983-1996,105,73,20,855,45*,16.13,1162,73.58,0,0,5
391,WB Phillips (Aus),1982-1986,48,41,6,852,75*,24.34,994,85.71,0,6,1
392,CWJ Athey (Eng),1980-1988,31,30,3,848,142*,31.40,1495,56.72,2,4,1
393,RS Kalpage (SL),1992-1999,86,69,28,844,51,20.58,1320,63.93,0,1,2
394,MAR Samarasekera (SL),1983-1994,39,39,2,844,76,22.81,1207,69.92,0,4,2
395,D Ganga (WI),1999-2006,35,34,1,843,71,25.54,1414,59.61,0,9,5
396,CA Ingram (SA),2010-2013,31,29,3,843,124,32.42,1024,82.32,3,3,5
397,BM McMillan (SA),1991-1998,78,52,16,841,127,23.36,1147,73.32,1,0,3
398,CK Coventry (Zim),2003-2015,39,35,1,831,194*,24.44,937,88.68,1,3,5
399,DW Hookes (Aus),1977-1986,39,36,2,826,76,24.29,1146,72.07,0,5,3
400,PJ Hughes (Aus),2013-2014,25,24,1,826,138*,35.91,1100,75.09,2,4,1
401,AI Kallicharran (WI),1973-1981,31,28,4,826,78,34.41,1329,62.15,0,6,0
402,JR Ratnayeke (SL),1982-1990,78,69,14,824,50,14.98,1571,52.45,0,1,4
403,GN Yallop (Aus),1978-1984,30,27,6,823,66*,39.19,1288,63.89,0,7,1
404,AC Waller (Zim),1987-1997,39,38,3,818,83*,23.37,1172,69.79,0,4,4
405,YK Pathan (India),2008-2012,57,41,11,810,123*,27.00,713,113.60,2,3,7
406,JM Davison (Can),2003-2011,32,32,2,799,111,26.63,767,104.17,1,5,5
407,Aminul Islam (Ban),1988-2002,39,39,5,794,70,23.35,1403,56.59,0,3,5
408,Z Khan (Asia/India),2000-2012,200,101,35,792,34*,12.00,1078,73.46,0,0,15
409,GB Hogg (Aus),1996-2008,123,65,26,790,71*,20.25,1004,78.68,0,2,9
410,Majid Khan (Pak),1973-1982,23,22,1,786,109,37.42,1052,74.71,1,7,1
411,S Wettimuny (SL),1982-1987,35,33,1,786,86*,24.56,1636,48.04,0,4,1
412,W Barresi (Neth),2010-2014,28,27,4,783,137*,34.04,1041,75.21,1,5,4
413,R Lamba (India),1986-1989,32,31,2,783,102,27.00,1166,67.15,1,6,2
414,IH Romaine (Ber),2006-2009,35,34,3,783,101,25.25,1222,64.07,1,4,5
415,JA Morkel (Afr/SA),2004-2012,58,43,10,782,97,23.69,780,100.25,0,2,1
416,Wasim Raja (Pak),1973-1985,54,45,10,782,60,22.34,1168,66.95,0,2,6
417,Abdur Razzak (Ban),2004-2014,153,97,39,779,53*,13.43,1020,76.37,0,1,12
418,AR White (Ire),2006-2014,61,46,3,776,79,18.04,1235,62.83,0,1,4
419,Haris Sohail (Pak),2013-2015,22,21,3,774,89*,43.00,934,82.86,0,7,1
420,KOA Powell (WI),2009-2014,28,28,0,772,83,27.57,953,81.00,0,7,2
421,Saleem Yousuf (Pak),1982-1990,86,62,19,768,62,17.86,1024,75.00,0,4,5
422,F Behardien (SA),2013-2016,41,34,9,767,70,30.68,788,97.33,0,4,2
423,CN Evans (Zim),1992-2002,53,47,5,764,96*,18.19,1006,75.94,0,2,3
424,Rizwan Cheema (Can),2008-2013,33,32,1,764,94,24.64,685,111.53,0,6,3
425,KWR Fletcher (Eng),1971-1982,24,22,3,757,131,39.84,1134,66.75,1,5,0
426,J Dyson (Aus),1980-1983,29,27,4,755,79,32.82,1553,48.61,0,4,1
427,AR Cusack (Ire),2007-2015,59,47,14,745,71,22.57,1159,64.27,0,2,8
428,G Fowler (Eng),1983-1986,26,26,2,744,81*,31.00,1321,56.32,0,4,2
429,DT Johnston (Ire),2006-2013,67,53,15,743,45*,19.55,785,94.64,0,0,3
430,CS MacLeod (Scot),2008-2016,34,32,3,742,175,25.58,985,75.32,2,2,8
431,Manzoor Elahi (Pak),1984-1995,54,46,13,741,50*,22.45,827,89.60,0,1,1
432,AM Samad (Can),2003-2009,27,27,2,740,130,29.60,1045,70.81,1,2,2
433,TD Paine (Aus),2009-2011,26,26,1,737,111,29.48,1070,68.87,1,5,1
434,PA Patel (India),2003-2012,38,34,3,736,95,23.74,962,76.50,0,4,2
435,Sohaib Maqsood (Pak),2013-2016,26,25,2,735,89*,31.95,881,83.42,0,5,1
436,MW Machan (Scot),2013-2016,23,22,0,734,114,33.36,952,77.10,1,3,1
437,CJ Nevin (NZ),2000-2003,37,36,0,732,74,20.33,1000,73.20,0,4,4
438,CJ Tavare (Eng),1980-1984,29,28,2,720,83*,27.69,1471,48.94,0,4,1
439,MA Ealham (Eng),1996-2001,64,45,4,716,45,17.46,1092,65.56,0,0,4
440,IJ Harvey (Aus),1997-2004,73,51,11,715,48*,17.87,811,88.16,0,0,2
441,Saqlain Mushtaq (Pak),1995-2003,169,98,38,711,37*,11.85,1434,49.58,0,0,13
442,LJ Wright (Eng),2007-2014,50,39,4,707,52,20.20,820,86.21,0,2,5
443,J Mubarak (SL),2002-2013,40,37,6,704,72,22.70,1115,63.13,0,4,1
444,PA Wallace (WI),1991-2000,33,33,0,701,103,21.24,1151,60.90,1,2,4
445,SM Ervine (Zim),2001-2004,42,34,7,698,100,25.85,816,85.53,1,2,5
446,PL Symcox (SA),1993-1999,80,54,13,694,61,16.92,830,83.61,0,3,6
447,Soumya Sarkar (Ban),2014-2015,16,16,2,692,127*,49.42,675,102.51,1,4,0
448,PAJ DeFreitas (Eng),1987-1997,103,66,23,690,67,16.04,823,83.83,0,1,4
449,BA Stokes (Eng),2011-2016,39,34,2,685,70,21.40,746,91.82,0,4,4
450,N Deonarine (WI),2005-2015,31,29,3,682,65*,26.23,989,68.95,0,4,0
451,JR Murray (WI),1992-1999,55,36,6,678,86,22.60,929,72.98,0,5,4
452,M Muralitharan (Asia/ICC/SL),1993-2011,350,162,63,674,33*,6.80,869,77.56,0,0,25
453,IM Chappell (Aus),1971-1980,16,16,2,673,86,48.07,874,77.00,0,8,0
454,DA Marillier (Zim),2000-2003,48,41,4,672,100,18.16,949,70.81,1,3,4
455,UC Hathurusingha (SL),1992-1999,35,33,1,669,66,20.90,1318,50.75,0,4,3
456,AC Botha (Ire),2006-2011,42,38,4,666,56,19.58,970,68.65,0,2,5
457,CJ Ferguson (Aus),2009-2011,30,25,9,663,71*,41.43,777,85.32,0,5,0
458,R Ashwin (India),2010-2016,102,58,18,658,65,16.45,760,86.57,0,1,6
459,S Ramesh (India),1999-1999,24,24,1,646,82,28.08,1092,59.15,0,6,3
460,Qasim Umar (Pak),1983-1987,31,31,3,642,69,22.92,1125,57.06,0,4,3
461,Abdul Qadir (Pak),1983-1993,104,68,26,641,41*,15.26,849,75.50,0,0,6
462,DL Hemp (Ber),2006-2009,22,22,3,641,102*,33.73,912,70.28,1,4,4
463,CEL Ambrose (WI),1988-2000,176,96,36,639,31*,10.65,985,64.87,0,0,13
464,JF Reid (NZ),1980-1986,25,24,1,633,88,27.52,1084,58.39,0,4,0
465,DLS van Bunge (Neth),2002-2013,37,31,1,633,80,21.10,953,66.42,0,3,2
466,RMH Binny (India),1980-1987,72,49,10,629,57,16.12,1046,60.13,0,1,4
467,GR Larsen (NZ),1990-1999,121,70,27,629,37,14.62,970,64.84,0,0,6
468,AM Blignaut (Zim),1999-2010,54,41,8,626,63*,18.96,589,106.28,0,5,3
469,DJ Nash (NZ),1992-2002,81,53,13,624,42,15.60,940,66.38,0,0,3
470,DN Patel (NZ),1987-1997,75,63,10,623,71,11.75,868,71.77,0,1,6
471,RR Patel (Kenya),2008-2014,39,35,4,621,92,20.03,978,63.49,0,2,3
472,GRJ Matthews (Aus),1984-1993,59,50,13,619,54,16.72,911,67.94,0,1,5
473,WV Raman (India),1988-1996,27,27,1,617,114,23.73,1109,55.63,1,3,6
474,GJ Rennie (Zim),1996-2003,40,37,6,617,76,19.90,928,66.48,0,2,5
475,SFAF Bacchus (WI),1978-1983,29,26,3,612,80*,26.60,928,65.94,0,3,2
476,RJ Ratnayake (SL),1982-1993,70,55,18,612,33*,16.54,705,86.80,0,0,4
477,J Botha (Afr/SA),2005-2012,78,50,18,609,46,19.03,710,85.77,0,0,2
478,D Gough (Eng/ICC),1994-2006,159,87,38,609,46*,12.42,947,64.30,0,0,10
479,AJ Hollioake (Eng),1996-1999,35,30,6,606,83*,25.25,807,75.09,0,3,1
480,BMAJ Mendis (SL),2010-2015,54,40,10,604,72,20.13,710,85.07,0,1,1
481,RIC Holder (WI),1993-1997,37,31,6,599,65,23.96,876,68.37,0,2,4
482,RT Robinson (Eng),1984-1988,26,26,0,597,83,22.96,1026,58.18,0,3,2
483,BM Laird (Aus),1979-1982,23,23,3,594,117*,29.70,1105,53.75,1,2,0
484,Mansoor Akhtar (Pak),1980-1990,41,35,1,593,47,17.44,1148,51.65,0,0,1
485,W Larkins (Eng),1979-1991,25,24,0,591,124,24.62,1047,56.44,1,0,3
486,LOB Cann (Ber),2006-2009,26,25,3,590,52,26.81,504,117.06,0,1,3
487,Shaiman Anwar (UAE),2014-2015,15,15,1,587,106,41.92,661,88.80,1,5,0
488,RJ Nicol (NZ),2011-2013,22,21,2,586,146,30.84,776,75.51,2,2,2
489,SB Joshi (India),1996-2001,69,45,11,584,61*,17.17,653,89.43,0,1,4
490,RT Latham (NZ),1990-1994,33,33,4,583,60,20.10,1008,57.83,0,1,3
491,Khurram Khan (UAE),2004-2015,16,16,2,582,132*,41.57,725,80.27,1,3,0
492,BJ Hodge (Aus),2005-2007,25,21,2,575,123,30.26,657,87.51,1,3,3
493,MJR Rindel (SA),1994-1999,22,22,1,575,106,27.38,860,66.86,1,2,1
494,Tushar Imran (Ban),2001-2007,41,40,0,574,65,14.35,970,59.17,0,2,8
495,C White (Eng),1994-2003,51,41,5,568,57*,15.77,928,61.20,0,1,9
496,RM Haq (Scot),2006-2015,54,40,6,566,71,16.64,931,60.79,0,3,6
497,KS More (India),1984-1993,94,65,22,563,42*,13.09,808,69.67,0,0,5
498,JJ Roy (Eng),2015-2016,20,19,0,558,102,29.36,567,98.41,1,3,2
499,Aamer Malik (Pak),1988-1994,24,23,1,556,90,25.27,989,56.21,0,5,1
500,Javed Ahmadi (Afg),2010-2015,25,23,0,556,81,24.17,641,86.73,0,5,1
501,RJ Peterson (SA),2002-2014,79,41,14,556,68,20.59,688,80.81,0,1,4
502,GS Blewett (Aus),1995-1999,32,30,3,551,57*,20.40,889,61.97,0,2,3
503,TJ Friend (Zim),2000-2004,51,39,5,548,91,16.11,724,75.69,0,3,5
504,T Duffin (Zim),2006-2007,23,23,0,546,88,23.73,993,54.98,0,3,1
505,Wahab Riaz (Pak),2008-2016,69,51,13,546,54*,14.36,659,82.85,0,2,11
506,Mohammad Wasim (Pak),1996-2000,25,25,2,543,76,23.60,1043,52.06,0,3,4
507,Mominul Haque (Ban),2012-2015,26,24,1,543,60,23.60,728,74.58,0,3,1
508,AP Kuiper (SA),1991-1996,25,23,7,539,63*,33.68,662,81.41,0,3,0
509,P Willey (Eng),1977-1986,26,24,1,538,64,23.39,855,62.92,0,5,3
510,MC Snedden (NZ),1980-1990,93,54,19,535,64,15.28,843,63.46,0,1,4
511,Athar Ali Khan (Ban),1988-1998,19,19,1,532,82,29.55,945,56.29,0,3,3
512,R Mutumbami (Zim),2014-2016,28,26,2,531,74,22.12,733,72.44,0,3,3
513,IS Billcliff (Can),2003-2009,19,19,0,529,93,27.84,793,66.70,0,4,0
514,SCJ Broad (Eng),2006-2016,121,68,25,529,45*,12.30,709,74.61,0,0,8
515,NN Odhiambo (Kenya),2006-2014,69,53,9,528,66,12.00,737,71.64,0,1,9
516,BJ Watling (NZ),2010-2013,22,20,2,528,96*,29.33,767,68.83,0,5,2
517,Naved-ul-Hasan (Pak),2003-2010,74,51,18,524,33,15.87,620,84.51,0,0,4
518,Amjad Ali (UAE),2008-2015,17,17,0,520,98,30.58,680,76.47,0,3,0
519,AG Cremer (Zim),2009-2016,61,43,12,519,58,16.74,780,66.53,0,1,2
520,LK Germon (NZ),1994-1997,37,31,5,519,89,19.96,787,65.94,0,3,2
521,Mudassar Bukhari (Neth),2007-2014,46,34,4,516,71,17.20,671,76.90,0,2,4
522,KM Dabengwa (Zim),2005-2010,37,34,7,514,45,19.03,851,60.39,0,0,4
523,PK Amre (India),1991-1994,37,30,5,513,84*,20.52,799,64.20,0,2,1
524,KD Walters (Aus),1971-1981,28,24,6,513,59,28.50,732,70.08,0,2,1
525,JG Bracewell (NZ),1983-1990,53,43,12,512,43,16.51,717,71.40,0,0,6
526,DP Viljoen (Zim),1997-2001,53,43,7,512,63*,14.22,827,61.91,0,2,5
527,JM Brearley (Eng),1977-1980,25,24,3,510,78,24.28,1120,45.53,0,3,6
528,AO Suji (Kenya),1996-2008,60,46,7,506,67,12.97,977,51.79,0,1,1
529,AN Petersen (SA),2006-2013,21,19,1,504,80,28.00,610,82.62,0,4,0
530,Taufeeq Umar (Pak),2001-2011,22,22,1,504,81*,24.00,895,56.31,0,3,0
531,PR Reiffel (Aus),1992-1999,92,57,21,503,58,13.97,709,70.94,0,1,5
532,JE Emburey (Eng),1980-1993,61,45,10,501,34,14.31,664,75.45,0,0,3
533,GP Swann (Eng),2000-2013,79,48,12,500,34,13.88,553,90.41,0,0,3
534,JJ Tucker (Ber),2006-2009,26,26,1,496,52,19.84,726,68.31,0,1,1
535,DJ Callaghan (SA),1992-2000,29,25,6,493,169*,25.94,726,67.90,1,0,2
536,Naimur Rahman (Ban),1995-2002,29,27,2,488,47,19.52,771,63.29,0,0,3
537,JWM Dalrymple (Eng),2006-2007,27,26,1,487,67,19.48,672,72.47,0,2,2
538,AC Cummins (Can/WI),1991-2007,76,49,13,486,44*,13.50,586,82.93,0,0,4
539,CR Woakes (Eng),2011-2016,43,34,8,486,42*,18.69,629,77.26,0,0,5
540,R McLaren (SA),2009-2014,54,41,15,485,71*,18.65,680,71.32,0,1,3
541,MRJ Veletta (Aus),1987-1989,20,19,4,484,68*,32.26,642,75.38,0,2,2
542,CS Baugh (WI),2003-2012,47,35,11,482,49,20.08,719,67.03,0,0,2
543,AA Mulla (Can),2006-2009,24,24,0,482,58,20.08,595,81.00,0,1,2
544,SR Patel (Eng),2008-2013,36,22,7,482,70*,32.13,517,93.23,0,1,1
545,Sabbir Rahman (Ban),2014-2015,23,19,4,482,57,32.13,477,101.04,0,2,1
546,DJ Reekers (Neth),2006-2009,19,19,0,481,104,25.31,411,117.03,1,0,3
547,TN de Grooth (Neth),2006-2013,34,32,4,480,97,17.14,774,62.01,0,1,1
548,DA Minors (Ber),2006-2007,20,20,2,478,68,26.55,791,60.42,0,3,1
549,BG Rogers (Zim),2002-2005,15,15,0,478,84,31.86,689,69.37,0,5,2
550,S Lee (Aus),1995-2001,45,35,8,477,47,17.66,500,95.40,0,0,3
551,Karim Sadiq (Afg),2009-2016,24,22,2,475,114*,23.75,587,80.91,2,0,3
552,SL Malinga (SL),2004-2015,191,96,29,475,56,7.08,622,76.36,0,1,23
553,CA Best (WI),1986-1992,24,23,4,473,100,24.89,690,68.55,1,2,2
554,AJ Bichel (Aus),1997-2004,67,36,13,471,64,20.47,600,78.50,0,1,5
555,H Patel (Can),2009-2013,23,23,1,468,62,21.27,584,80.13,0,2,3
556,ALF de Mel (SL),1982-1987,57,41,9,466,36,14.56,595,78.31,0,0,6
557,AO Malhotra (India),1982-1986,20,19,4,457,65,30.46,645,70.85,0,1,0
558,C Sharma (India),1983-1994,65,35,16,456,101*,24.00,504,90.47,1,0,3
559,GEF Barnett (Can),2006-2010,22,22,0,455,77,20.68,745,61.07,0,1,1
560,R Gunasekera (Can),2008-2014,19,19,0,455,72,23.94,677,67.20,0,6,3
561,RW Chakabva (Zim),2008-2015,34,31,1,454,45,15.13,813,55.84,0,0,2
562,Minhajul Abedin (Ban),1986-1999,27,26,2,453,68*,18.87,909,49.83,0,2,3
563,JH Davey (Scot),2010-2016,25,23,5,452,64,25.11,673,67.16,0,2,1
564,A Balbirnie (Ire),2010-2015,22,21,1,451,97,22.55,690,65.36,0,2,0
565,Umar Gul (Pak),2003-2015,126,64,17,451,39,9.59,639,70.57,0,0,10
566,Mehrab Hossain (Ban),1998-2003,18,18,0,449,101,24.94,763,58.84,1,2,2
567,TE Blain (NZ),1986-1994,38,38,11,442,49*,16.37,662,66.76,0,0,6
568,SAR Silva (SL),1984-1985,20,20,0,441,85,22.05,838,52.62,0,3,1
569,GR Viswanath (India),1974-1982,25,23,1,439,75,19.95,830,52.89,0,2,1
570,JP Maher (Aus),1998-2003,26,20,3,438,95,25.76,673,65.08,0,1,1
571,AH Omarshah (Zim),1983-1996,28,28,2,437,60*,16.80,860,50.81,0,1,4
572,PL Taylor (Aus),1987-1992,83,47,25,437,54*,19.86,583,74.95,0,1,4
573,DN Chudasama (Kenya),1996-1999,20,19,0,434,122,22.84,685,63.35,1,1,2
574,CJ McDermott (Aus),1985-1996,138,78,17,432,37,7.08,492,87.80,0,0,15
575,CJO Smith (Scot),2006-2009,27,26,4,432,59,19.63,640,67.50,0,2,3
576,DR Pringle (Eng),1982-1993,44,30,12,425,49*,23.61,616,68.99,0,0,1
577,MN van Wyk (SA),2003-2015,17,17,1,425,82,26.56,617,68.88,0,4,2
578,AK Sharma (India),1988-1993,31,27,6,424,59*,20.19,469,90.40,0,3,2
579,RC Russell (Eng),1987-1998,40,31,7,423,50,17.62,638,66.30,0,1,0
580,AS Hansra (Can),2010-2014,24,22,4,421,70*,23.38,725,58.06,0,2,2
581,SMA Priyanjan (SL),2013-2015,23,20,2,420,74,23.33,522,80.45,0,2,0
582,AR Adams (NZ),2001-2007,42,34,10,419,45,17.45,417,100.47,0,0,1
583,SR Waters (Kenya),2008-2011,20,20,0,419,74,20.95,751,55.79,0,2,2
584,CO Browne (WI),1995-2005,46,32,8,415,46*,17.29,590,70.33,0,0,3
585,LE Plunkett (Eng),2005-2015,34,30,11,414,56,21.78,434,95.39,0,1,2
586,Farhad Reza (Ban),2006-2011,34,31,6,412,50,16.48,636,64.77,0,1,2
