,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
64,DR Martyn (Aus),1992-2006,208,182,51,5346,144*,40.80,6877,77.73,5,37,10
65,BRM Taylor (Zim),2004-2015,167,166,15,5258,145*,34.82,7060,74.47,8,32,13
66,G Gambhir (India),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11
67,ADR Campbell (Zim),1992-2003,188,184,14,5185,131*,30.50,7834,66.18,7,30,11
68,RS Mahanama (SL),1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15
69,CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3
70,Misbah-ul-Haq (Pak),2002-2015,162,149,31,5122,96*,43.40,6945,73.75,0,42,6
71,PD Collingwood (Eng),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7
72,A Symonds (Aus),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15
73,Abdul Razzaq (Asia/Pak),1996-2011,265,228,57,5080,112,29.70,6252,81.25,3,23,14
74,RG Sharma (India),2007-2016,148,142,23,5008,264,42.08,5919,84.60,10,28,10
75,CL Cairns (ICC/NZ),1991-2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9
76,MJ Guptill (NZ),2009-2016,129,126,14,4844,237*,43.25,5627,86.08,10,30,9
77,MN Samuels (WI),2000-2015,177,167,26,4806,133*,34.08,6389,75.22,9,26,9
78,Aamer Sohail (Pak),1990-2000,156,155,5,4780,134,31.86,7297,65.50,5,31,10
79,EJG Morgan (Eng/Ire),2006-2016,160,151,22,4756,124*,36.86,5460,87.10,8,29,12
80,Tamim Iqbal (Ban),2007-2015,153,152,3,4713,154,31.63,6029,78.17,6,32,15
81,CD McMillan (NZ),1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9
82,MD Crowe (NZ),1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3
83,MV Boucher (Afr/SA),1998-2011,295,221,57,4686,147*,28.57,5528,84.76,1,26,16
84,AJ Stewart (Eng),1989-2003,170,162,14,4677,116,31.60,6841,68.36,4,28,13
85,H Masakadza (Zim),2001-2016,165,164,4,4649,178*,29.05,6306,73.72,4,30,15
86,SB Styris (NZ),1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9
87,KP Pietersen (Eng/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7
88,NS Sidhu (India),1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7
89,Shakib Al Hasan (Ban),2006-2015,157,149,24,4398,134*,35.18,5476,80.31,6,30,8
90,CZ Harris (NZ),1990-2004,250,213,62,4379,130,29.00,6583,66.51,1,16,12
91,GR Marsh (Aus),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4
92,ME Trescothick (Eng),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13
93,GA Gooch (Eng),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4
94,AJ Strauss (Eng),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9
95,E Chigumbura (Afr/Zim),2004-2016,199,185,24,4179,117,25.95,5149,81.16,2,19,14
96,K Srikkanth (India),1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11
97,AD Mathews (SL),2008-2016,169,140,38,4067,139*,39.87,4779,85.10,1,28,12
98,JP Duminy (SA),2004-2016,150,135,31,4028,150*,38.73,4835,83.30,4,21,7
99,AJ Lamb (Eng),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8
100,RP Arnold (SL),1997-2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7
101,Mushfiqur Rahim (Ban),2006-2015,158,145,21,3920,117,31.61,5174,75.76,4,22,9
102,AP Gurusinha (SL),1985-1996,147,143,5,3902,117*,28.27,6409,60.88,2,22,12
103,JG Wright (NZ),1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9
104,DJ Cullinan (SA),1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10
105,GA Hick (Eng),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10
106,HP Tillakaratne (SL),1986-2003,200,168,40,3789,104,29.60,6588,57.51,2,13,10
107,N Kapil Dev (India),1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13
108,Wasim Akram (Pak),1984-2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28
109,RS Kaluwitharana (SL),1990-2004,189,181,14,3711,102*,22.22,4776,77.70,2,23,24
110,Imran Khan (Pak),1974-1992,175,151,40,3709,102*,33.41,5105,72.65,1,19,6
111,PV Simmons (WI),1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14
112,KS Williamson (NZ),2010-2016,93,87,9,3666,145*,47.00,4363,84.02,7,25,5
113,NV Knight (Eng),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6
114,L Klusener (SA),1996-2004,171,137,50,3576,103*,41.10,3977,89.91,2,19,13
